Fransızca;Türkçe
différence indirecte; dolaylı farklılık
satiété; doygunluk
taux de période; dönem oranları
conversionisme; dönme
dramaturgie; dramaturji
définition de la situation; durum tanımlaması
désensibilisation; duyarsızlaştırma
règles de ressenti; duygu kuralları
affect; duygulanım
individualisme affectif; duygusal bireyleşme
travail émotionnel; duygusal emek
travail émotionnel; duygusal işler
stade sensorimoteur; duyusal-devimsel evre
duopole; düopol
pulsions; dürtüler
système de faible confiance; düşük güven sistemi
modernisation réflexive; düşünümsel modernleşme
sens dénotatif; düzanlam
édition; düzenleme
vérification de l'édition; düzenleme kontrolleri
incrémentalisme décousu; düzenli olmayan birikim
nivellement; düzleme
ascendance; ecdat 
acte; edim
lecteurs acquis; edinilmiş dürtüler
indirect; effect dolaylı etki
système de valeurs dominant; egemen değer sistemi
idéologie dominante; egemen ideoloji
culture dominante; egemen kültür
ego; ego
éducabilité; eğitilebilirlik
relation curviligne; eğrisel ilişki
écologie; ekoloji
invasion écologique; ekolojik işgal
concurrence écologique; ekolojik rekabet
système d'information sur la santé; ekolojik yanılsama
succession écologique; ekolojik yer değiştirme
économétrie; ekonometri
économisme; ekonomizm
écopopulisme; ekopopülizm
sous-urbanisation; eksik kentleşme
sous-consommation; eksik tüketim
criminologie critique; eleştirel kriminoloji
théorie critique; eleştirel kuram
élite; elit
théorie de l'élite; elit kuramı
circulation des élites; elitlerin dolaşımı
ethnographie; elnogıafi
décomposition du travail; emeğin ayrışması
travail; emek
force de travail; emek gücü
marché du travail; emek piyasası
flexibilité du marché du travail; emek piyasası esnekliği
segmentation du marché du travail; emek piyasasının bölünmesi
Sociologie du Travail; Emek Sosyolojisi
processus de travail; emek süreci
théorie de la valeur du travail; emek-değer kuramı
empathie; empati
impérialisme; emperyalizm
régression par les moindres carrés; en küçük kareler regresyonu
ligne d'ajustement optimale; en uygun doğru
indice; endeks
conflit industriel; endüstriyel çatışma
démocratie industrielle; endüstriyel demokrasi
intégration industrielle; endüstriyel entegrasyon
action industrielle; endüstriyel eylem
relations industrielles; endüstriyel ilişkiler
l'inflation; enflasyon
technologie de l'information; enformasyon teknolojisi
société de l'information; enformasyon toplumu
tabou de l'inceste; ensest tabusu
intégration; entegrasyon
intelligentsia; entelijensiya
épidémiologie; epidemioloji
épistémologie; epistemoloji
anarchie épistémologique; epistemolojik anarşi
anomie épistémologique; epistemolojik anomi
androgynie; erdişilik çift cinsiyetlilik 
adolescence; ergenlik
melting-pot; eritme kabı
chauvinisme masculin; erkek şovenizmi
masculinité; erkeksilik
gratification différée; ertelenmiş doyum
eschatologique; eskatoloji
travail flexible; esnek çalışma
emploi flexible; esnek istihdam
spécialisation flexible; esnek uzmanlaşma
production flexible; esnek üretim
flexibilité; esneklik
garde-barrière; eşik bekçiliği
liminalité; eşik evresi
intervalle d'apparition égal; eşit görünen aralıklar
égalité; eşitlik
égalitarisme; eşitlikçilik
association différentielle; eşitsiz etkileşim 
structure d'opportunités différentielles; eşitsiz fırsat yapısı
développement inégal; eşitsiz gelişme
inégalité; eşitsizlik
familles à double revenu; eşlerin ikisinin de para kazandığı aileler
mariages à deux revenus; eşlerin ikisinin de para kazandığı evlilikler
comparaisons par paires; eşleştirilmiş karşılaştırmalar
variation concomitante; eşzamanlı varyasyon
éthique; etik
étiquetage théorie; etiketleme kuramı
efficacité; etkenlik
interactionnisme; etkileşimcilik
théories du champ interactionnel; etkileşimsel alan kuramları
groupe ethnique; etnik grup
nationalisme ethnique; etnik milliyetçilik
ethnie; etnisite
ethnostatistique; etnoistatistik
ethnométhodologie; etnometodoloji 
ethnocentrisme; etnosantrizm
ethnomédecine; etnotıp
éthologie; etoloji
travail domestique; ev içi emeği
division du travail domestique; ev içi işbölümü
violence domestique; ev içi şiddet
travail domestique; ev işi
travails à domicile; evde çalışma
mariage; evlilik 
théorie de l'évolution; evrim kuramı
évolutionnisme; evrimcilik
universalité de l'évolution; evrimsel evrenseller
action; eylem
recherche-action; eylem araştırması
théorie de l'action; eylem kuramı
actionnisme; eylemcilik
agence; eylemlilik fail eyleyen
système d'usine; fabrika sistemi
Fabianisme; Fabyanizm
prostitution; fahişelik
analyse factorielle; faktör analizi
falangisme; falanjizm
contexte de sensibilisation; farkındalık bağlamı 
différenciation; farklılaşma
différence; farklılık
principe de différence; farklılık ilkesi
fascisme; faşizm
utilité; fayda
utilitarisme; faydacılık
fédéralisme; federalizm
catastrophes; felaketler
philosophie; felsefe
nominalisme philosophique; felsefi nominalizm
féministe; feminist
criminologie féministe; feminist kriminoloji
méthodologie féministe; feminist metodoloji
féminisme; feminizm
phénoménologie; fenomenoloji
sociologie phénoménologique; fenomenolojik sosyoloji
féodalisme; feodalizm
égalité des chances; fırsat eşitliği
structure des chances; fırsat yapısı
sociologie figurative; figürasyonel sosyoloji
contraste figure-sol; figür-zemin kontrastı
ségrégation de fait; fiili ayrım
capitalisme financier; finansal kapitalizm
Pensée physiocratique; Fizyokratik Düşünce
fordisme; Fordızm
formalisme; formalizm
justice formelle; formel adalet
organisation de la société civile; formel işlemler aşaması
organisation formelle; formel örgütlenme
formalisme de la justice; formel yapı
phratrie; fratri
fondamentalisme; fundamentalizm
problème de Gallon; Galton problemi
études sur les homosexuels; gay araştırmaları
soins informels; gayri resmi bakım
Produit national brut; Gayri Safi
validité; geçerlilik
chômage frictionnel; geçici friksiyonel işsizlik
analyse shift-share; geçiş payı analizi
technique du shift-share; geçiş payı tekniği
tradition; gelenek
société traditionnelle; geleneksel toplum
distribution des revenus; gelir dağılımı
codes d'expression élaborés; gelişkin konuşma kodları
développement; gelişme
gène; gen
culture des jeunes; gençlik kültürü
taux de fertilité général; genel doğurganlık oranı
Modèle général de distance; Genel Mesafe Modeli
Questionnaire général sur la santé; Genel Sağlık Anketi
Autres généralisés; genelleştirilmiş öteki
génétique; genetik
famille élargie; geniş aile
génotype; genotip
gens; gens
réalisme; gerçekçilik
retour d'information; geri besleme
guérilla; gerilla
gérontocratie; gerontokrasi yaşlılar hâkimiyeti
gérontologie; gerontoloji yaşlılık bilimi
gérontocratie; Geştalt kuramı
ghetto; getto
coefficient de Gini; Gini katsayısı
culture d'entreprise; girişim kültürü
entreprise de la société civile; girişim toplumu
entrepreneur; girişimci
entreprise de la société civile; girişimci kapitalizm
entrepreneuriat; girişimcilik
fonction latente; gizil işlev
programme d'études caché; gizli müfredat
crime caché; gizli suç
travailleur salarié déguisé; gizli ücretli işçiler
système de classes de Goldthorpe; Goldthorpe sınıf şeması
émigration; göç
migration; göç
migration en chaîne; göç zinciri
nomades; göçebeler
nomadisme; göçebelik
associations volontaires; gönüllü birlikler
relativisme; görecilik
mobilité relative; göreli mobilite
autonomie relative; göreli özerklik
pauvreté relative; göreli yoksulluk
privation relative; göreli yoksunluk
coutumes; görenekler
orientation vers les tâches; görev yönelimi
religion invisible; görünmez din
main invisible; görünmez el
entretien; görüşme
entretien; görüşme yanlılığı
interviewer biaisé; görüşmeci yanlılığı
signifiant; gösteren
indicateur; gösterge
signe; gösterge
sémiologie/sémiotique; göstergebilim
signifié; gösterilen
loisir ostentatoire; gösterişçi boş zaman faaliyeti
consommation ostentatoire; gösterişçi tüketim
mesures discrètes; göze batmayan ölçüler
observation; gözlem
biais de l'observateur; gözlemci yanlılığı
théorie des graphes; grafik kuramı
grève; grev
groupe; grup
travail de groupe; grup çalışması
groupe de travail; grup dinamiği
mariage de groupe; grup evliliği
polyandrie adelphique; grup halinde çokkocalılık
thérapie de groupe; grup terapisi
échelle de Guttman; Guttman ölçeği 
motivation; güdü
motivation; güdülenme
crise de motivation; güdülenme krizi
vocabulaires de la motivation; güdüleyici sözler
vie quotidienne; gündelik yaşam
sociologie de la vie quotidienne; gündelik yaşam sosyolojisi
mob; güruh
intervalles de confiance; güven aralıkları
limites de confiance; güven sınırları
confiance et méfiance; güven ve güvensizlik
habitus; habitus
théorie de l'équité; hakkaniyet kuramı
droits; haklar
folkways; halk yordamı
effet de halo; halo etkisi
stratégie de travail des ménages; hane çalışma stratejisi
dynamique des ménages; hane dinamiği
système d'allocation des ménages; hane içi kaynak dağıtımı sistemi
chef de famille; hane reisi
ménage; hane/hanehalkı
incarcération; hapsetme
organisation carcérale; hapsetme kurumu
revenu disponible; harcanabilir gelir
rôle de malade; hasta rolü
statistiques de morbidité; hastalığa yakalanma istatistikleri
maladie; hastalık
maladie; hastalık
erreur; hata
études de Hawthorne; Hawthorne araştırmaları
resquilleur; hazıra konucu hazıra konma
objectif; hedef
différenciation des objectifs; hedef farklılaşması
objectif généralisé; hedef genelleme
relation de don; hediye ilişkisi
hégémonie; hegemonya
hétérosexisme; heteıoseksizm
christianisme; Hıristiyanlık
affine; hısım
affinité; hısımlık yakınlık 
hypothèse hydraulique; hidrolik hipotezi 
société hydraulique; hidrolik toplum
hindouisme; Hinduizm
hyper-inflation; hiper enflasyon
méthode hypothético-déductive; hipotetik-tümdengelimsel yöntem
test d'hypothèse; hipotez testi
histogramme; histogram
modèle linéaire hiérarchique; hiyerarşik doğrusal model
modèle de régression linéaire hiérarchique; hiyerarşik doğrusal regresyon
modèle de régression linéaire hiérarchique; hiyerarşik kümeleme şeması
secteur des services; hizmet endüstrileri
secteur des services; hizmet sektörü
classe de service; hizmet sınıfı
homophobie; homofobi
homosexualité; homoseksüellik
hooliganisme; hooliganlık
jurisprudence; hukuk bilimi
sociologie du droit; hukuk sosyolojisi
cellule; hücre
entrée de cellule; hücre 
coup d'État; hükümet darbesi
sociologie humaniste; hümanist sosyoloji
humanisme; hümanizm
Internet; Internet
École d'interactionnisme de l'Iowa; Iowa Etkileşimcilik Okulu
race; ırk
racialisme; ırk ayrımcılığı
École des relations raciales Caste; Irk İlişkilerinde Kast Okulu
sociologie de la race; ırk sosyolojisi
racisme; ırkçılık
racialisation; ırksallaştırma
iatrogénèse; iatrojenez
marché du travail interne; iç emek piyasası
migration interne; iç göç
dépression endogène; iç kaynaklı depresyon
colonialisme interne - ou domestique; iç sömürgecilik
introspection; içebakış
introspection; içebakışçılık
introversion; içedönüklük
analyse de contenu; içerik analizi
rationalité substantive; içeriksel akılsallık
endogamie; içevlilik 
inlrapreneur; iç-girişimci
in-groupe; iç-grup
instincts; içgüdüler
inclusion; içine alma
boire; içki düşkünlüğü
immanence; içkinlik
variables endogènes; içsel değişkenler
satisfaction intrinsèque; içsel tatmin
orientation intérieure; iç-yönclimlilik
id; id
théorie administrative; idare kuramı
situation idéale de discours; ideal konuşma söz durumu
type d'idéal; ideal tip
idéalisme; idealizm
idéologie; ideoloji
appareil d'État idéologique; ideolojik devlet aygıtı
fin de l'idéologie; ideolojinin sonu
approches idéographiques; idiografik yaklaşımlar
liens expressifs; ifade edici bağlar bağlar
foule expressive; ifade edici kalabalık
rapport de cotes; ihtimal oranı
besoin; ihtiyaç
hiérarchie des besoins; ihtiyaçlar hiyerarşisi
analyse bivariée; iki değişkenli analiz
régression linéaire bivariée; iki değişkenli doğrusal regresyon
temps de doublement; iki katına çıkma süresi
distribution binomiale; iki şıklı dağılım
bipartite bipartizan; iki taraflılık iki taraflı
dualisme; ikicilik düalizm
dyade; ikili
double conscience; ikili bilinç
double économie; ikili ekonomi
marché du travail dual; ikili emek piyasası
dichotomie; ikilik
construction de second ordre; ikinci dereceden kurgular
Deuxième monde; İkinci Dünya
Deuxième révolution industrielle; İkinci Sanayi Devrimi
analyse secondaire; ikincil analiz
marché secondaire du travail; ikincil emek piyasası
marché de l'emploi; ikincil pekiştirme
pouvoir; iktidar güç
dépendance à l'égard du pouvoir; iktidar bağımlılığı
élite du pouvoir; iktidar eliti
économie du laissez-faire; iktisadı
croissance économique; iktisadi büyüme
cycle économique; iktisadi çevrim
déterminisme économique; iktisadi determinizm
activité économique; iktisadi faaliyet
traditionalisme économique; iktisadi gelenekselcilik
développement économique; iktisadi gelişine
dualisme économique; iktisadi ikicilik
homme économique; iktisadi insan
économie; iktisat bilimi
communication; iletişim
structure de la communication; iletişim yapısı
abolitionnisme; ilgacılık 
coefficients d'association; ilişki katsayıları 
communisme primitif; ilkel komünizm
fabrication; imalat
hiérarchie de crédibilité; inandırıcılık hiyerarşisi
économie informelle; informel ekonomi
théorie du secteur informel; informel sektör kuramları
géographie humaine; insan coğrafyası
nature humaine; insan doğası
économie informelle; insan ekolojisi
droits de l'homme; insan hakları
Mouvement des relations humaines; İnsan İlişkileri Hareketi
théorie du capital humain; insan sermayesi kuramı
anthropomorphisme; insanbiçimcilik 
Geisteswissenchaften; insani bilimler
suicide; intihar
para-suicide; intihar taklidi
théorie volontariste de l'action; iradeci eylem kuramı
Lumières écossaises; İskoç Aydınlanması
Islam; İslamiyet
statistiques; istatistik
indépendance statistique; istatistiki bağımsızlık
inférence statistique; istatistiki çıkarsama
distribution statistique; istatistiki dağılım
effets statistiques; istatistiki etkiler
interaction statistique; istatistiki etkileşim
association statistique; istatistiki ilişki
Paquet statistique pour les sciences sociales; istatistiki Sosyal Bilimler Paketi
emploi; istihdam
statut de l'emploi; istihdam statüsü
chaîne d'emploi; istihdam zinciri
rébellion; isyan
évaluation de l'emploi; iş değerlendirme
la satisfaction de l'emploi; iş memnuniyeti
quartier central des affaires; iş merkezi
District d'amélioration des affaires Business Improvement Districts; İş Ortamını İyileştirme Bölgeleri
division du travail; işbölümü
aristocratie ouvrière; işçi aristokrasisi
mouvement syndical; işçi hareketi
syndicat; işçi sendikası
classe ouvrière; işçi sınıfı
relations de travail; işçi-işveren ilişkileri
taux de participation à la population active; işgücüne katılma oranı
dégradation du travail; işin değer yitirmesi
profession; işkolu
stade préopérationnel; işlem öncesi evre
conditionnement opérant ou apprentissage; işlemsel koşullandırma veya öğrenme 
modèle opérationnel; işlemsel model
définition opérationnelle; işlemsel tanım
opérationnalisation; işlemselleştirme
fonction; işlev
rationalité fonctionnelle; işlevsel akılsallık
impératifs fonctionnels; işlevsel buyruklar
flexibilité fonctionnelle; işlevsel esneklik
équivalents fonctionnels; işlevsel eşdeğerler
inégalité fonctionnelle; işlevsel eşitsizlik
conditions préalables fonctionnelles; işlevsel gereklilikler
système d'information sur le marché du travail; işlevsel tabakalaşma kuramı
fonctionnalisme; işlevselcilik
chômage; işsizlik
stratégies des employeurs; işveren stratejileri
déférence; itaat
industrialisation par substitution des importations; ithal ikameci sanayileşme
théorie des alliances; ittifak kuramı
analyse du chemin; izlek analizi
formation des impressions; izlenim oluşumu
gestion des impressions; izlenim yaratma
japonisation; Japonlaşma
geste; jest
taux de divorce brut; kaba boşanma oranı 
taux brut de natalité; kaba doğum oranı
taux de mortalité brut; kaba ölüm oranı
tribalisme; kabilecilik
rites d'initiation; kabul törenleri
thérapie d'aversion; kaçınma terapisi 
ingénierie sociale au coup par coup; kademeli toplum mühendisliği
impôt progressif; kademeli vergi
fatalisme; kadercilik
misogynie; kadın düşmanlığı
mouvement des femmes; kadın hareketi
féminité; kadınsılık
distinction manuel/non-manuel; kafa-kol emeği ayrımı
foule; kalabalıklar
foule; kalabalıklaşma
hérédité; kalıtım
banques de développement; kalkınma bankaları
bien public; kamu malı
administration publique; kamu yönetimi
opinion publique; kamuoyu
enquête d'opinion; kamuoyu yoklamaları
intérêt public; kamusal alan
intérêt public; kamusal çıkar
panthéisme; kamutanrıcılık
Échantillon d'utilisation publique; Kamuya Açık
rôle conjugal; kan/koca rolü
cognatique; kandaş
cognatique; kandaşlık
groupes fermés; kapalı gruplar
société fermée; kapalı toplum
réponse fermée; kapalı yanıt
fermeture; kapanma
capitaliste; kapitalist
classe capitaliste; kapitalist sınıf
capitalisme; kapitalizm
pouvoir étendu; kapsama gücü
loi de couverture, compte de causalité; kapsayıcı nedensellik yasası
sorcellerie; kara büyü
économie souterraine; kara ekonomi
prise de décision; karar alma
mesure par fiat; karara göre ölçüm
polyandrie fraternelle; kardeş çokkocalılığı
culte du cargo; kargo kültü
famille conjugale; karı/koca ailesi
carrière; kariyer
mobilité professionnelle; kariyer mobilitesi
carrière déviante; kariyer sapması
mariage à double carrière; kariyer yapan eşlerin evliliği
charisme; karizma
économie mixte; karma ekonomi
échantillonnage complexe; karmaşık örnekleme
contre-mouvement; karşı-hareket
contre-culture; karşı-kültür
sociologie comparée; karşılaştırmalı sosyoloji
méthode comparative; karşılaştırmalı yöntem
réciprocité; karşılıklılık
contre-mouvement; karşılıklılık normu
contrefactuel; karşı-olgusal
cartel; kartel
échantillon boule de neige; kartopu örneklemi
technique de la boule de neige; kartopu tekniği
caste; kast
catégorie; kategori
variable catégorielle; kategorik değişken
cathexis; kateksis yüktenim
catharsis; katharsis
taux de participation; katılım oranı
démocratie participative; katılımcı demokrasi
observation participante; katılımcı gözlem
observation non-participante; katılımcı olmayan gözlem
coefficient; katsayı
concept; kavram
divination; kehanette bulunma
écologie urbaine; kent ekolojisi
gestion urbaine; kent yönetimciliği
quintiles; kentil
conurbation; kentlerin birleşmesi
anti-urbanisme; kentleşme karşıtlığı 
urbanisme; kentlilik
agglomération urbaine; kentsel yığılma
hypothèse de Kerr-Siegel; Kerr-Siegel hipotezi
analyse transversale; kesit analizi
données transversales; kesit verileri
projection; kestirim
hypothèse frustration-agression; ketlenme-saldırganlık hipotezi
économie keynésienne; Keynesçi iktisat
sociologie rurale; kır sosyolojisi
société populaire; kır toplumu
thèse des fenêtres cassées; kırık pencereler tezi
continuum folklorique-urbain; kır-kent sürekliliği
coefficient de régression partielle; kısmi regresyon katsayıları
incommensurabilité; kıyaslanamazlık
kibboutisme; kibutizm
chi carré; ki-kare
église; kilise
identité; kimlik
crise d'identité; kimlik krizi
grille de Kish; Kish çizelgesi
tableau de sélection de Kish; Kish tablosu
comparaisons interpersonnelles; kişiler arası karşılaştırmalar
personnalité; kişilik
documents personnels; kişisel belgeler
revenu personnel; kişisel gelir
théorie de la construction personnelle; kişisel kurgu kuramı
communication de masse; kitle iletişimi
culture de masse; kitle kültürü
société de masse; kitle toplumu
Observation de masse; Kitlesel Gözlem
hystérie de masse; kitlesel histeri
clan; klan
école classique de gestion scientifique; klasik bilimsel yönetim okulu
théorie classique de l'administration; klasik idare kuramı
théorie de l'économie classique; klasik iktisat kuramı
conditionnement classique; klasik koşullandırma
criminologie classique; klasik kriminoloji
clientélisme; klientelizm
dépression clinique; klinik depresyon
sociologie clinique; klinik sosyoloji
cliométrie; kliometri
code; kod
codification; kodlama
cadre de codage; kodlama çerçevesi
comportement collectif; kolektif davranış
travail collectif; kolektif emek
action collective; kolektif eylem
pouvoir collectif; kolektif güç
bien collectif; kolektif mal
représentation collective; kolektif temsiller
consommation collective; kolektif tüketim
conscience collective; kolektif vicdan
organisations collectivistes; kolektivist örgütlenmeler
collectivisme; kolektivizm
bourgeoisie compradore; komprador burjuvazi
économie planifiée; komuta ekonomisi
commune; komün
systèmes de production communaux; komünal üretim sistemleri
anarchisme communiste; komünist anarşizm
communisme; komünizm
cycles de Kondratieff; Kondratieff dalgaları
Confucianisme; Konfüçyüsçülük
conjoncture; konjonktür
consensus; konsensüs
constructivisme; konstrüktivizm
analyse de la conversation; konuşma analizi
logement; konut
classe de logement; konuta göre sınıflandırma
coopérative; kooperatif
corrélation; korelasyon
groupes d'entreprises; korporasyon grupları
société d'entreprise; korporasyon toplumu
corporatisme; korporatizm
conditionnement; koşullandırma
stimulus conditionné; koşullandırılmış uyaran
réponse conditionnée; koşullandırılmış yanıt
conditionnel contrefactuel; koşullu karşı-olgusal
stimulus conditionnel; koşullu uyaran
réponse conditionnelle; koşullu yanıt
stimulus inconditionnel; koşulsuz uyaran
covariation; kovaryasyon birlikte değişme
famille souche; kök aile
esclavage; kölelik
paysannerie; köylülük
criminologie; kriminoloji
choromosomes; kromozomlar
anneau de kula; kula halkası
jeux de hasard; kumar
sociologie du jeu; kumar sosyolojisi
théorie; kuram
chargé de théorie; kuramla yüklü
crime sans victime ; kurbansız suç
constructionnisme; kurmacılık
institution; kurum
institutionnalisme; kurumsalcılık
institutionnalisation; kurumsallaşma
discrimination institutionnalisée; kurumsallaşmış ayrımcılık
sexisme institutionnalisé; kurumsallaşmış cinsiyetçilik
génération; kuşak
mobilité intragénérationnelle; kuşak-içi mobilite
mobilité intergénérationnelle; kuşaklar arası mobilite
polarisation; kutuplaşma
cousin; kuzen
cycle de Kuznets; Kuznets çevrimi
petite accumulation; küçük birikim
petite bourgeoise; küçük burjuvazi
petite production de marchandises; küçük meta üretimi
culte; kült
culture; kültür
culture d'entreprise; kültür alanı
culture d'entreprise; kültür şoku
École de la culture et de la personnalité; Kültür ve Kişilik Okulu
enculturation; kültüre girme
théorie de la transmission culturelle; kültürel aktarını kuramı
anthropologie culturelle; kültürel antropoloji
assimilation culturelle; kültürel asimilasyon
études culturelles; kültürel çalışmalar
pluralisme culturel; kültürel çoğulculuk
intégration culturelle; kültürel entegrasyon
décalage culturel; kültürel gecikme
relativisme culturel; kültürel görecilik
théorie culturelle; kültürel kuram
matérialisme culturel; kültürel materyalizm
capital culturel; kültürel sermaye
diffusion culturelle; kültürel yayılma
acculturation; kültürlerime
analyse en grappes; küme analizi
analyse canonique; kümeler arası analiz
chaînes mondiales de produits de base; küresel meta zincirleri
mondialisation; küreselleşme
théorie de la mondialisation; küreselleşme kuramı
latifundia; latifundiya
études lesbiennes; lezbiyen araştırmaları
libéralisme; liberalizm
libertarianisme; liberteryanizm
échelle de Likert; Likert ölçeği
mérite; liyakat
analyse log-linéaire; log-lineer analiz
régression logistique ou logit; lojistik ya da logit regresyon
lock-out; lokavt
guildes gilds; loncalar
courbe de Lorenz; Lorenz eğrisi
lumpen-bourgeoisie; lümpen burjuvazi
lumpen-prolétariat; lümpen proletarya
justice matérielle; maddi adalet
culture matérielle; maddi kültür
culture non matérielle; maddi olmayan kültür
production de machines; makine üretimi
macrosociologie; makro sosyoloji
conséquences involontaires; maksat dışı sonuçlar
crise fiscale; mali kriz
analyse coût-bénéfice; maliyet-kazanç analizi
empirisme logique; mantıkçı ampirizm
positivisme logique; mantıkçı pozitivizm
analyse coût-bénéfice; mantıksal evrenseller
réduction logique; mantıksal indirgeme
maoïsme; Maoculuk
emploi marginal; marjinal istihdam
total marginal; marjinal toplamlar
révolution marginale; marjinalist devrim
marginaux; marjinaller
marginalisation; marjinalleşme
Marxisme Marxist sociology; Marksist sosyoloji
marxisme; Marksizm
sociologie mathématique; matematiksel sosyoloji
matérialisme; materyalizm
travail ouvrier; mavi yakalı iş
McDonaldisation; McDonaldlaşma
droits civils; medeni haklar
libertés civiles; medeni özgürlükler
processus de civilisation; medenileşme süreci
médias de masse; medya kitle iletişim araçları
mégalopole; megalopol
solidarité mécanique; mekanik dayanışma 
systèmes de gestion mécanique; mekanik yönetim sistemleri
identités hybrides; melez kimlikler
cooptation; menfaat çemberine alma
méritocratie; meritokrasi
capitalisme mercantile; merkantil kapitalizm
mercantilisme; merkantilizm
mesures de la tendance centrale; merkezi eğilim ölçüleri
modèle centre-périphérie; merkezperiferi modeli
d ecen t red self; merkezsizleşmiş benlik
mouvement messianique; mesihçi hareket
ségrégation professionnelle; mesleki ayrım
communauté professionnelle; mesleki cemaat
carrière professionnelle; mesleki kariyer
mobilité professionnelle; mesleki mobilite
prestige professionnel; mesleki prestij
classification des professions; mesleki sınıflandırma
socialisation professionnelle; mesleki toplumsallaşma
structure professionnelle; mesleki yapı
légitimité; meşruiyet
crise de légitimation; meşruiyet krizi
fétichisme de la marchandise; meta fetişizmi
chaînes de marchandises; meta zincirleri
métaphysique; metafizik
pathos métaphysique; metafiziksel pathos
marchandisation commoditization; metalaşma metalaştırma
méthodologie; metodoloji
individualisme méthodologique; metodolojik bireycilik
holisme méthodologique; metodolojik bütüncülük
pluralisme méthodologique; metodolojik çoğulculuk
naturalisme méthodologique; metodolojik doğalcılık
artefacts méthodologiques; metodolojik yapıntılar
métonyme métonymie; metonim metonimi
métropolis; metropol
métamorphose de l'eau; metropol alanı
Réseau d'information et de communication sur l'environnement RIE; Metropol İstatistiki Alanı
métrologie métonymie; metropol-uydu ilişkisi
économie de position; mevki ekonomisi
chômage saisonnier; mevsimlik işsizlik
inflation des titres de compétences; meziyet bolluğu
crédentialisme; meziyetçilik
microsociologie; mikro sosyoloji
microdonnées; mikro veriler
militantisme; militanlık
nationalisme; milliyetçilik
mythe; mit
mobilité; mobilite
modèle de mobilisation; mobilizasyon modeli
modèle; model
modélisation; modelleme
modernisme; modernizm
modernisation; modernleşme
modernité; modernlik  - modernite
monétarisme; monetarizm
monisme; monizm
monoculture; monokültür
carrière morale; moral kariyer
classification morphologique -ou étiologique; morfolojik ya da etiolojik sınıflandırma
conservatisme; muhafazakârlık
judaïsme; Musevilik
mobilité absolue; mutlak mobilite
pauvreté absolue; mutlak yoksulluk
privation absolue; mutlak yoksunluk
État absolutiste; mutlakiyetçi devlet
absolutisme; mutlakiyetçilik
échange; mübadele
valeur d'échange; mübadele değeri
théorie de l'échange; mübadele kuramı
programme d'études; müfredat
propriété; mülkiyet
dépendance; müptelalık
ordre négocié; müzakereyle kurulan düzen
narcissisme; narsisizm
national-socialisme; Nasyonal Sosyalizm
naturalisme; natüralizm
cause; neden
explication causale; nedensel açıklama
effet causal; nedensel etki
modélisation causale; nedensel modelleme
crimes de haine; nefret suçları
corrélation négative; negatif korelasyon
néo-darwinisme; neo-Darwincilik
néo-impérialisme; neo-emperyalizm
néo-kantianisme; neo-Kantçılık
économie néoclassique; neo-klasik iktisat
néo-libéralisme; neo-liberalizm
néo-marxisme; neo-Marksizm
néo-positivisme; neo-pozitivizm
Théorie des relations d'objet; Nesne İlişkileri Kuramı
Test des relations d'objet; Nesne İlişkileri Testi
objectif; nesnel
objectivité; nesnellik
anxiété névrotique; nevrotik anksiyete
dépression névrotique; nevrotik depresyon
névrose; nevroz
mesure nominale; nominal ölçüm
données nominales; nominal veriler
nominalisme; nominalizm
norme; norm
science normale; normal bilim
distribution normale; normal dağılım
courbe normale; normal eğri
normalisation; normalleştirme 
ordre normatif; normatif düzen
pouvoir normatif; normatif güç
fonction normative; normatif işlevselcilik
théorie normative; normatif kuram
population; nüfus
principe de population; nüfus ilkesi
études de population; nüfus incelemeleri
enquête de suivi du recensement; nüfus sayımını tamamlayıcı araştırmalar
groupes de discussion; odak grupları
interaction non ciblée ; odaklanmamış etkileşim
interaction ciblée; odaklanmış etkileşim
foule concentrée; odaklanmış kalabalık
stade œdipien; Oidipal aşama
complexe d'Œdipe; Oidipus kompleksi
école; okul eğitimi
groupe d'école; okul gruplandırması
classe d'école; okul sınıfı
déscolarisation; okula gitmeme
échantillonnage non probabiliste; olasılıksız örnekleme
analyse de l'historique des événements; olay tarihi analizi
fait; olgu
oligarchie; oligarşi
loi d'airain de l'oligarchie; oligarşinin demir
oligopole; oligopol
action positive; olumlayıcı eylem
eufonction; olumlu işlev
théorie de la contingence; olumsallık kuramı
tableau de contingence; olumsallık tablosu
approbation; onaylama 
ontologie; ontoloji
alignement optimal; optimal diziliş
alignement optimal; optimal eşleştirme
mesure de ratio; oran ölçümü
modèle de risque proportionnel; orantısal riziko modeli
militaire et militarisme; ordu ve militarizm
analogie organique; organik analoji
solidarité organique; organik dayanışma
nationalisme organique; organik milliyetçilik
système de gestion organique; organik yönetim sistemleri
organisation de l'espace et de l'espace; organizasyon menzili
Mouvement de conception organisationnelle; Organizasyon Tasarımı Hareketi
crime organisé; organize suç
organisation de la société civile; orta menzilli kuram
classe moyenne; orta sınıf
mésostructure; orta yapı
mésodomaine; orta zemin
rôle conjugal commun; ortak kan/koca rolleri
culture en commun; ortakçılık
connaissance de base; ortakduyusal ortak bilgi
Problème -ou tragédie- des biens communs; Ortaklık Problemi ya da Trajedisi
moyenne; ortalama 
moyenne; ortalama değer
test des moyennes; ortalama değer testi
médiane; ortanca medya
émergence; ortaya çıkış
échelle sémantique différentielle d'Osgood; Osgood ayrımsal anlam ölçeği
