Fransızca;Türkçe
division du travail domestique; ev içi işbölümü
division internationale du travail; uluslararası işbölümü
division sexuelle du travail;cinsel işbölümü 
divorce ;boşanma 
documents personnels; kişisel belgeler
domaine; zümre
dominants;baskın
domination;tahakküm
domination symbolique;sembolik tahakküm
dominés;bastırılmış
données; veriler
données d’observation [stat];gözlemsel veri [stat]
données nominales; nominal veriler
données transversales; kesit verileri
double conscience; ikili bilinç
double économie; ikili ekonomi
doxa;doksa
dramaturgie; dramaturji
drogue; uyuşturucu
droit sociologie du;hukuk sosyoloji
droit d'aînesse primogéniture;büyük evlât hakkı ekberiyet 
droit d'auteur ;greve yatkınlık
droite;hukuk 
droits; haklar
droits civils; medeni haklar
droits de l'homme; insan hakları
droits sociaux; refah haklan
dualisme; ikicilik düalizm
dualisme économique; iktisadi ikicilik
dualisme explicatif;açıklayıcı ikicilik düalizm
duopole; düopol
durée;süre
durkheimien;Durkheimian
dyade; ikili
dynamique;dinamik
dynamique des ménages; hane dinamiği
dynamique sociale ;toplumsal dinamik
dysfonction;disfonksiyon
dysfonctionnemental; ters işlevsel
dysphorie;disfori
échange;değişim
échange social; toplumsal mübadele
échantillon ;örneklem
échantillon à plusieurs degrés;çok aşamalı örneklem 
échantillon aléatoire; tesadüfi örneklem
échantillon boule de neige; kartopu örneklemi
échantillon de quotas ;kota örneklemi
Échantillon d'enregistrements anonymes ;İsimsizleştirilmiş Kayıtlar Ömeklemi
Échantillon d'utilisation publique; Kamuya Açık
échantillon représentatif; temsili örneklem
échantillon stratifié; tabakalandırılmış örneklem
échantillonnage ;örnekleme
échantillonnage aléatoire ;tesadüfi örnekleme
échantillonnage aléatoire simple;basit tesadüfi örnekleme 
échantillonnage complexe; karmaşık örnekleme
échantillonnage non probabiliste; olasılıksız örnekleme
échec scolaire;okulda beklenenden düşük performans sergilemek
échelle ;ölçek
échelle de Guttman; Guttman ölçeği 
échelle de Likert; Likert ölçeği
échelle de Thurstone ;Thurstone ölçeği
échelle de Treiman ;Treiman ölçeği
échelle d'évaluation; puanlama ölçekleri
échelle d'intervalle;aralık ölçekleri 
échelle ordinale; sırasal ölçekler
échelle sémantique différentielle d'Osgood; Osgood ayrımsal anlam ölçeği
échelle sociale;sosyal ölçek
échelle sociétale ;toplumsal ölçek
échelle unidimensionnelle ;tek boyutlu ölçekleme
échelles de classement ;derecelendirme ölçekleri
école; okul eğitimi
école classique de gestion scientifique; klasik bilimsel yönetim okulu
école d'Aston;Aston Okulu
École de la culture et de la personnalité; Kültür ve Kişilik Okulu
École d'interactionnisme de l'Iowa; Iowa Etkileşimcilik Okulu
écologie;ekoloji
écologie sociale ;toplumsal ekoloji
écologie urbaine; kent ekolojisi
économétrie; ekonometri
économie; iktisat bilimi
économie sociologie économique;ekonomi ekonomik sosyoloji
économie de libre-service; self-servis ekonomisi
économie de marché; piyasa ekonomisi
économie de position; mevki ekonomisi
économie de subsistance ;geçim ekonomisi
économie du laissez-faire; iktisadı
économie informelle; informel ekonomi
économie keynésienne; Keynesçi iktisat
économie mixte; karma ekonomi
Economie mondiale;küresel ekonomi
économie néoclassique; neo-klasik iktisat
économie planifiée; planlı ekonomi
économie politique; siyasal iktisat
économie souterraine; kara ekonomi
économisme; ekonomizm
écopopulisme; ekopopülizm
écosexuel;ekoseksüel
édition; düzenleme
éducabilité; eğitilebilirlik
éducation; terbiye, eğitim
éducation sociologie de l’éducation;eğitim eğitim sosyolojisi
éducation compensatoire; telafi eğitimi
effet d’une variable;etki bir değişkenin
effet causal; nedensel etki
effet -causal- direct; doğrudan nedensel etki
effet d’âge / effet de génération;yaş etkisi / nesil etkisi
effet de déplacement risqué ;riskli geçiş etkisi
effet de halo; halo etkisi
effet de primauté; öncelik etkisi
effet de récurrence ;sonralık etkisi
effet de ruissellement ;aşağıya damlama etkisi
effet de structure ;yapı etkisi 
effet Matilda;Matilda etkisi
effet von RestorfT; von Restorff etkisi
effet Werther;Werther etkisi
effets aberrants; uç etkiler
effets de l'expérimentateur; deneyci etkisi
effets de sélection; seçim etkileri
effets d'interaction;etkileşim etkileri
effets statistiques; istatistiki etkiler
efficacité; etkenlik
effort bargaining;çaba pazarlığı
égalitarisme; eşitlikçilik
égalité; eşitlik
égalité des chances; fırsat eşitliği
égalité sociale; toplumsal eşitlik
égalité subjective ;öznel eşitlik
église; kilise
ego; ego
égocentrisme;benmerkezcilik 
égoïsme;bencillik egoizm
Élite;Elit
élite du pouvoir; iktidar eliti
embourgeoisement, thèse de l'embourgeoisement ;burjuvalaşma, burjuvalaşma tezi 
émergence; ortaya çıkış
émeute;ayaklanma
émigration; göç
empathie; empati
empirique;ampirik 
empirisme;ampirizm
empirisme abstrait; soyutlanmış ampirizm
empirisme logique; mantıkçı ampirizm
empirisme, abstrait;ampirizm, soyutlanmış
empirisme, logistique;ampirizm, mantıkçı 
emploi; istihdam
emploi flexible; esnek istihdam
emploi marginal; marjinal istihdam
Employé;Çalışan
En toute autonomie ; tam bağımsızlık
encapacitation;enkapasitasyon
enculturation; kültüre girme
endogamie;endogami
endogène;endojen
enfance;çocukluk 
enfant de la loi 101;Bill 101'in çocukları
engagement;bağlılık
enquête ;anket araştırması
enquête de suivi du recensement; nüfus sayımını tamamlayıcı araştırmalar
enquête d'opinion; kamuoyu yoklamaları
enquête par sondage; örneklem anketi
enquête post-dénombrement; sayım sonrası anket araştırması
enquête sociale ;toplumsal anket araştırması
enquêtes communautaires;cemaat anketleri 
enterrer sa vie de garçon;bekarlığa veda partisi
entrée de cellule; hücre 
Entrepôt du tiers-monde ;Üçüncü Dünya ambarı
entrepreneur;girişimci
entrepreneuriat; girişimcilik
entreprise sociologie de l’;girişim girişim sosyolojisi
entreprise de la société civile; girişim toplumu
entreprise morale;ahlâki atılım 
entretien; görüşme
entretien de la frontière; sınır sürdürümü
entretien non structuré;çerçevesi belirlenmemiş görüşme 
Entretien personnel assisté par ordinateur;Bilgisayar Destekli Kişisel Görüşmeler 
entretien structuré;çerçevesi belirlenmiş görüşme 
entretien structuré ;çerçevesi belirlenmiş görüşme
environnement;çevre 
environnement sociologie de l’;çevre sosyoloji
environnement de travail ;çalışma ortamı 
épidémiologie; epidemioloji
épistémologie; epistemoloji
épistémologique; pluralism
épurateur;arıtıcı
épuratrice;arıtıcı
équation;denklem
équations structurelles; yapısal denklemler
équilibre; denge
équilibre social; toplumsal denge
équivalents fonctionnels; işlevsel eşdeğerler
erreur; hata
erreur de concrétude mal placée; somutluğun kaybedilmesi yanlışı
erreur de mesure; ölçüm hatası
erreur d'échantillonnage ;örnekleme hatası
erreur d'échantillonnage aléatoire ; tesadüfi örnekleme hatası
erreur non due à l'échantillonnage; örneklememe hatası
eschatologique; eskatoloji
esclavage; kölelik
espace social;sosyal alan
espérance de vie; ömür beklentisi
esprit du capitalisme ;kapitalizmin ruhu
essentialisme;özcülük
estimation; tahmin
étapes de la vie; yaşam evreleri
État;Eyalet, devlet
État absolutiste; mutlakiyetçi devlet
état de santé ;statü kazanma
État rationnel ;akılcı devlet
État-providence;Refah devleti
éthico-artistique;sanatsal etik
éthique; etik
éthique de la recherche;araştırma etiği
éthique du travail;çalışma etiği 
ethnie; etnisite
Ethnocentrisme;Etnosentrizm
ethnographe;etnograf
Ethnographie;Etnografya
ethnographier;etnograf
ethnographique;etnografik
ethnologie;etnoloji
ethnomédecine; etnotıp
ethnométhodologie;etnometodoloji
ethnopraxie;etnopraksi
ethnostatistique; etnoistatistik
éthologie; etoloji
éthos;ethos
étiquetage;etiketleme
étiquetage théorie; etiketleme kuramı
étude de cas; örnekolay vaka incelemesi
étude de marché; piyasa araştırması
étude de panel; yinelenen araştırmalar
étude longitudinale; uzun süreli araştırma
étude pilote; pilot inceleme
études communautaires;cemaat araştırmaları
études culturelles; kültürel çalışmalar
études de Hawthorne; Hawthorne araştırmaları
études de population; nüfus incelemeleri
études lesbiennes; lezbiyen araştırmaları
études sur la localité; yerellik araştırmaları
études sur le budget-temps; zaman-bütçe araştırmaları
études sur le temps et le mouvement; zaman-ve hareket araştırmaları
études sur les homosexuels; gay araştırmaları
eufonction; olumlu işlev
eugénisme; öjenik
eurodescendant;eurodescendant
Évaluation;Değerlendirme
évaluation de l'emploi; iş değerlendirme
événement de vie; yaşam olayı
Évolution;Evrim
évolution sociale; toplumsal evrim
évolutionnisme;evrimcilik
examen de la vie; yaşamı hatırlama
Examen de l'état actuel ;Fiili Durum İncelemesi
exclusion; dışlama
exclusion sociale ;toplumsal dışlama
existentialisme; varoluşçuluk
exogamie;ekzogami
expérience; deney
expérience naturelle; doğal deney
expérience sociale;sosyal deney
expérience subjective du travail ;öznel çalışma deneyimi
expérience sur le terrain;alan deneyi 
explication;açıklama
explication causale; nedensel açıklama
Explication, explanandum and explanans -explicandum and explicans;açıklanan ve açıklayanlar açımlanan ve açımlayanlar explanandum and explanans -explicandum and explicans
exploitation;sömürü
expression de genre;cinsiyet ifadesi
externalisation; dışsallaştırma
externalité; dışsallık
extraversion; dışadönüklük
extro-déterminé;dıştan belirlenmiş
Fabianisme; Fabyanizm
fabrication; imalat
fait; olgu
fait social; toplumsal olgu
falaise de verre;cam uçurum
falangisme; falanjizm
falsification; yanlışlama
falsifîcationisme; yanlışlamacılık
familisme amoral;ahlakdışı ailecilik 
Famille;Aile
famille à classes croisées ;çapraz sınıflı aile 
famille conjugale; karı/koca ailesi
famille élargie; geniş aile
famille malheureuse; problem aile
famille souche; kök aile
famille symétrique; simetrik aile
famille, famille de mari/femme;aile, karı/koca ailesi
famille, famille nucléaire;aile, çekirdek aile 
famille, souche famille;aile, kök aile 
famille, symétrique famille;aile, simetrik aile 
familles à double revenu; eşlerin ikisinin de para kazandığı aileler
fascisme; faşizm
fatalisme; kadercilik
fausse conscience; yanlış bilinç
favela;Favela, kenar mahalle, varoş mahalle, teneke mahalle
fécondité; doğurganlık
fédéralisme; federalizm
féminin;feminen
Féminisation;Dişileştirme
féminisme; feminizm
féministe; feminist
féminité; kadınsılık
féodalisme; feodalizm
fermeture; kapanma
fermeture sociale; toplumsal kapanma
fétichisme de la marchandise; meta fetişizmi
fiabilité ;güvenilirlik
film d'anticipation; bilim kurgu filmi
fin de l'idéologie; ideolojinin sonu
finance financiarisation;finans finansallaşma
flexibilité; esneklik
flexibilité du marché du travail; emek piyasası esnekliği
flexibilité fonctionnelle; işlevsel esneklik
fluidité sociale ;toplumsal akışkanlık
folie; delilik
folkways; halk yordamı
fonction; işlev
fonction latente; gizil işlev
fonction manifeste;açık İşlev 
fonction normative; normatif işlevselcilik
fonctionnalisme; işlevselcilik
fonctionnements structuraux; yapısal işlevselcilik
fondamentalisme; fundamentalizm
fondamentalisme religieux; dinsel fundamentalizm
force de travail; emek gücü
forces de production; üretim güçleri
fordisme; Fordızm
formalisme; formalizm
formalisme de la justice; formel yapı
formation de réaction ; tepki oluşumu
formation des impressions; izlenim oluşumu
formation discursive; söylem oluşumu
formation sociale; toplumsal formasyon
foule; kalabalıklaşma
foule concentrée; odaklanmış kalabalık
foule expressive; ifade edici kalabalık
foules diffuses; dağınık kalabalık
francisation;fransızlaştırma
frange;kondom
fransızca;türkçe
Front;Ön, cephe
Gagner en autonomie ; bağımsızlığını kazanmak
gamme ; değişim aralığı
gangs ;sokak çeteleri
garde-barrière; eşik bekçiliği
gaytrification;gaytrification gayleri çoğunlukta olduğu bölgeler
Geisteswissenchaften; insani bilimler
gène; gen
généalogie; soykütüğü
généralisation du stimulus; uyaran genelleştirme
génération; kuşak
génération ;nesil 
génétique; genetik
génocide; soykırım
génotype; genotip
genre;cinsiyet
genré;cinsiyetlendirilmiş
genre sexe;cinsiyet
genre social ;cinsiyet toplumsal
gens; gens
gentrification;soylulaştırma
gentry; yüksek sınıf
géographie;coğrafya 
géographie humaine; insan coğrafyası
géographie sociale ;toplumsal coğrafya
gérontocratie; gerontokrasi yaşlılar hâkimiyeti
gérontologie; gerontoloji yaşlılık bilimi
geste; jest
gestion; yönetim
gestion des connaissances;bilginin yönetimi 
gestion des impressions; izlenim yaratma
gestion personnelle; personel yönetimi
gestion scientifique;bilimsel yönetim 
gestion urbaine; kent yönetimciliği
ghetto; getto
ghosting;ghostlamak
glose; şerh koyma
goût préférences;zevkler tercihler, tat
gouvernement parlementaire; parlamenter yönetim
grande théorie;büyük kuram 
graphique à secteurs; turta grafik
graphique en barres;çubuk grafik 
gratification différée; ertelenmiş doyum
grève; grev
grève de la faim;açlık grevi
grille de Kish; Kish çizelgesi
groupe; grup
groupe social;grup sosyal
groupe d'âge; yaş grupları
groupe d'appartenance; statü grubu
groupe de contrôle; denetim grubu
groupe de membres; üyelik grubu
groupe de référence ;referans grubu
groupe de travail; grup dinamiği
groupe d'école; okul gruplandırması
groupe d'intérêt;çıkar grupları 
groupe ethnique; etnik grup
groupe minoritaire;azınlık grubu 
groupe paria; parya grubu
groupe primaire;asli grup
groupe social ;toplumsal grup
groupes d'ascendance; soy grupları
groupes de discussion; odak grupları
groupes de pression;baskı grupları 
groupes de pression ;baskı grupları
groupes de travail;çalışma grupları 
groupes de travail ;çalışma grupları
groupes d'entreprises; korporasyon grupları
groupes d'intérêt ;çıkar grupları
groupes fermés; kapalı gruplar
groupes ouverts;açık gruplar 
groupes secondaires; tali gruplar
guérilla; gerilla
guerre; savaş
guerre totale; topyekûn savaş
gynocentrisme;ji̇nosentri̇zm
habitus; habitus
handicap; özürlülük
Hédonisme;hedonizm
hégémonie; hegemonya
hérédité; kalıtım
héritage;miras, kalıntı
herméneutique; yorumbilgisi
hétérogamie;heterogami
Hétéronomie; Dışa bağımlılık 
hétérosexisme; heteıoseksizm
hétérosocialité;heterososyallik
heuristique;sezgisel yöntemler
hiérarchie cybernétique; sibernetik hiyerarşisi
hiérarchie de crédibilité; inandırıcılık hiyerarşisi
hiérarchie des besoins; ihtiyaçlar hiyerarşisi
hindouisme; Hinduizm
histogramme; histogram
histoire; tarih
histoire de cas; vaka kayıtları
histoire de la vie; yaşam öyküsü
histoire orale; sözlü tarih
histoire sociale; toplumsal tarih
historicisme; tarihsicilik
historiographie; tarihyazımı
holisme;bütüncülük holizm
holisme méthodologique; metodolojik bütüncülük
hominisme;hominizm
homme;adam, insan
homme blanc;beyaz adam
homme économique; iktisadi insan
homophobie; homofobi
homosexualité; homoseksüellik
hooliganisme; hooliganlık
hors-groupe; dış-grup
horticulture, sociétés horticoles;bahçıvanlık, bahçıvan toplumlar 
hospice; yaşlı bakımevi
humanisme; hümanizm
hyper-inflation; hiper enflasyon
hypothèse de complémentarité; tamamlayıcılık hipotezi
hypothèse de Kerr-Siegel; Kerr-Siegel hipotezi
hypothèse de l'asymétrie;asimetri hipotezi 
hypothèse de l'état vierge ou de la feuille blanche;boş levha ya da beyaz sayfa hipotezi blank-state or blank-paper hypothesis
hypothèse de similarité;benzerlik hipotezi 
hypothèse frustration-agression; ketlenme-saldırganlık hipotezi
hypothèse hydraulique; hidrolik hipotezi 
hypothèse nulle; sıfır hipotezi
hypothèses de domaine;alan varsayımları 
hystérie de masse; kitlesel histeri
Internet; Internet
Interview téléphonique assistée par ordinateur;Bilgisayar Destekli Telefon Görüşmeleri 
Islam; İslamiyet
iatrogénèse; iatrojenez
idéalisme; idealizm
identité; kimlik
identités de la diaspora; diaspora kimlikleri
identités hybrides; melez kimlikler
idéologie;İdeoloji
idéologie dominante; egemen ideoloji
images de la société; toplum imgeleri
immanence; içkinlik
immigration;Göçmenlik
impératifs fonctionnels; işlevsel buyruklar
impérialisme; emperyalizm
imposer un rôle à quelqu'un d'autre;başkasına rol yükleme 
impôt progressif; kademeli vergi
imputation causale;nedensel imputasyon
incarcération; hapsetme
inclusion; içine alma
incommensurabilité; kıyaslanamazlık
inconscient;bilinçdışı 
incrémentalisme décousu; düzenli olmayan birikim
indépendance;bağımsızlık 
indépendance statistique; istatistiki bağımsızlık
indexicalité; dizinsellik
indicateur;gösterge
indicateurs sociaux ;toplumsal göstergeler
indice; endeks
indice de criminalité; suç endeksi
indice de dissemblance;benzersizlik endeksi 
indirect; effect dolaylı etki
individualisation;bireyselleştirme
individualism;bireycilik
individualisme affectif; duygusal bireyleşme
individualisme méthodologique;metodolojik bireycilik
induction; tümevarım
induction analytique;analitik tümevarım 
industrialisation; sanayileşme
industrialisation par substitution des importations; ithal ikameci sanayileşme
industrialisme; sanayicilik endüstriyalizm
inégalité;eşitsizlik
inégalité fonctionnelle; işlevsel eşitsizlik
inégalité sociale ;toplumsal eşitsizlik
inférence statistique;istatistiksel çıkarım
inflation des titres de compétences; meziyet bolluğu
informateur, sujet;bilgi veren, denek 
ingénierie sociale ;toplum mühendisliği
ingénierie sociale au coup par coup; kademeli toplum mühendisliği
in-groupe; iç-grup
innovation changement culturel;inovasyon kültürel değişim
innovation religieuse ;dinsel yenilik
insertion sociale;yerleştirme sosyal
instincts; içgüdüler
institution; kurum
institution intégration;kurum entegrasyonu
institution sociale ;toplumsal kurum
institution totale; total kurum
institutionnalisation; kurumsallaşma
institutionnalisme; kurumsalcılık
instrumentalisation de la foule;araçsal kalabalık 
instrumentalisme;araçsalcıllık instrumentalism
instruments de dépistage; tarama araçları
intégration; entegrasyon
intégration culturelle; kültürel entegrasyon
intégration du système ;sistem entegrasyonu
intégration horizontale; yatay entegrasyon
intégration industrielle; endüstriyel entegrasyon
intégration sociale; toplumsal entegrasyon
intégration verticale; dikey entegrasyon
intellectuels ;entelektüeller
intelligence; zekâ
interaction sociale;etkileşim sosyal
interaction ciblée; odaklanmış etkileşim
interaction en classe; derslik etkileşimi
interaction en face à face; yüz yüze etkileşim
interaction non ciblée ; odaklanmamış etkileşim
interaction sociale; toplumsal etkileşim
interaction statistique; istatistiki etkileşim
interactioni ;etkileşim
interactionnisme; etkileşimcilik
interactionnisme symbolique ;sembolik etkileşimcilik
interdépendance;karşılıklı bağımlılık
interdiction ;yasaklama
intérêt;ilgi
intérêt central de la vie;başlıca İlgi alanı 
intérêt pour la classe; sınıf çıkarı
intérêt public; kamusal çıkar
intérêts;çıkarlar 
intermédiarité;medyalararasılık
interpellation;çağırma
interprétation;yorumlama
intersubjectivité; öznelerarasılık
intervalle d'apparition égal; eşit görünen aralıklar
intervalles de confiance; güven aralıkları
intervention sociologique ;sosyolojik müdahale
interviewer biaisé; görüşmeci yanlılığı
introspection; içebakışçılık
introversion; içedönüklük
invasion écologique; ekolojik işgal
japonisation; Japonlaşma
jeu;oyun
jeu de rôle ;rol kümesi
jeunesse ;gençlik
jeux à somme non nulle; sıfır toplamlı olmayan oyunlar
jeux à somme nulle; sıfır toplamlı oyunlar
jeux de hasard; kumar
judaïsme; Musevilik
jugement de valeur; değer-yargıları
jurisprudence; hukuk bilimi
justice;adalet 
justice distributive;bölüştürücü adalet 
justice formelle; formel adalet
justice matérielle; maddi adalet
justice procédurale; prosedür adaleti
justice rétributive;cezalandırıcı adalet 
justice sociale; toplumsal adalet
kibboutisme; kibutizm
Kinship;akrabalık 
la satisfaction de l'emploi; iş memnuniyeti
l'agression; saldırganlık
langage corporel;beden dili 
langue; dil
latifundia; latifundiya
le suicide anomique ; anomik intihar
lecteurs acquis; edinilmiş dürtüler
légitimité;meşruluk
les pays industrialisés;Birinci Dünya 
lexicométrie lien social;leksikometri sosyal bağlantı
liaison; doğumsal bağlanma
libéralisme; liberalizm
libertarianisme; liberteryanizm
libertés civiles; medeni özgürlükler
libre arbitre; özgür irade
libre association; serbest çağrışım
libre marché; serbest piyasa
lien instrumental;araçsal bağ 
liens expressifs; ifade edici bağlar bağlar
ligne d'ajustement optimale; en uygun doğru
liminalité; eşik evresi
limites de confiance; güven sınırları
l'incorporation; tümleşme
l'inflation; enflasyon
linguistique; dilbilim
livre d'anticipation ;bilim kurgu kitabı
lock-out; lokavt
logement; konut
loi d'airain de l'oligarchie; oligarşinin demir
loi de couverture, compte de causalité; kapsayıcı nedensellik yasası
loi de Parkinson; Parkinson yasası
loi naturelle; doğal hukuk
loisir ostentatoire; gösterişçi boş zaman faaliyeti
loisirs;boş zaman
Lumières;Aydınlanma 
Lumières écossaises; İskoç Aydınlanması
lumpen-bourgeoisie; lümpen burjuvazi
lumpen-prolétariat; lümpen proletarya
lutte des classes;sınıf mücadelesi
lutte symbolique;sembolik mücadele
macrosociologie; makro sosyoloji
magie, sorcellerie et l'enchantement;büyü, büyücülük ve kara büyü 
main invisible; görünmez el
maladie; hastalık
maladie du diplôme; diploma hastalığı
maladie mentale;akıl hastalığı 
maladie psychosomatique; psikosomatik hastalık
maoïsme; Maoculuk
marchandisation commoditization; metalaşma metalaştırma
Marché;Pazar, yürüyüş, eylem, piyasa
marché de l'emploi; ikincil pekiştirme
marché du travail; emek piyasası
marché du travail divisé;bölünmüş emek piyasası 
marché du travail dual; ikili emek piyasası
marché du travail externe; dışsal emek piyasası
marché du travail interne; iç emek piyasası
marché du travail local; yerel emek piyasası
marché du travail primaire;birincil emek piyasası 
marché du travail segmenté;dilimlenmiş emek piyasaları
marché secondaire du travail; ikincil emek piyasası
marginalisation; marjinalleşme
marginaux; marjinaller
mariage; evlilik 
mariage à double carrière; kariyer yapan eşlerin evliliği
mariage de groupe; grup evliliği
mariages à deux revenus; eşlerin ikisinin de para kazandığı evlilikler
marxisme; Marksizm
Marxisme Marxist sociology; Marksist sosyoloji
marxisme analytique;analitik Marksizm
masculinité; erkeksilik
matérialisme; materyalizm
matérialisme culturel; kültürel materyalizm
matérialisme dialectique; diyalektik materyalizm
matérialisme historique; tarihsel materyalizm
matriarcat;anaerkillik 
matrilinéaire;anasoylu 
mécanismes de défense; savunma mekanizmaları
médiane; ortanca medya
médias de masse; medya kitle iletişim araçları
médicalisation; tıbbileşme
mégalopole; megalopol
melting-pot; eritme kabı
mémoire collective;kolektif bellek
ménage; hane/hanehalkı
mercantilisme; merkantilizm
mère, maternité;annelik 
mérite; liyakat
méritocratie; meritokrasi
mésodomaine; orta zemin
mésostructure; orta yapı
mesure; ölçüm
mesure de ratio; oran ölçümü
mesure nominale; nominal ölçüm
mesure par fiat; karara göre ölçüm
mesures de dispersion; dağılma ölçüleri
mesures de dissimilarité;benzersizlik ölçüleri 
mesures de la tendance centrale; merkezi eğilim ölçüleri
mesures discrètes; göze batmayan ölçüler
métamorphose de l'eau; metropol alanı
métaphysique; metafizik
métarécit; üst-anlatı
métathéorie; üst-kuram
métathéorie croyances; üst-kuramsal inançlar
méthode comparative; karşılaştırmalı yöntem
méthode différentielle sémantique;ayrımsal anlam yöntemi 
méthode expérimentale; deneysel yöntem
méthode hypothético-déductive; hipotetik-tümdengelimsel yöntem
méthode scientifique;bilimsel yöntem 
méthodes de recherche ;araştırma yöntemleri
méthodes des membres; üyelerin yöntemleri
méthodologie; metodoloji
méthodologie féministe; feminist metodoloji
métissage; soy karışımı
métonyme métonymie; metonim metonimi
métropolis; metropol
microdonnées; mikro veriler
microsociologie; mikro sosyoloji
migration; göç
migration en chaîne; göç zinciri
migration interne; iç göç
militaire et militarisme; ordu ve militarizm
militantisme; militanlık
millenarianism;binyılcılık
miroir;ayna benliği 
mise à l'échelle ;ölçekleme
misogynie; kadın düşmanlığı
mob; güruh
mobilisation;seferberlik
mobilisation des ressources ;kaynak mobilizasyonu
mobilisation morale;ahlâki seferberlik 
mobilisation of bias; yanlılık mobilizasyonu
mobilité; mobilite
mobilité absolue; mutlak mobilite
mobilité de la circulation; dolaşım mobilitesi
mobilité des réseaux;ağ mobilitesi 
mobilité intergénérationnelle; kuşaklar arası mobilite
mobilité intragénérationnelle; kuşak-içi mobilite
mobilité non structurelle; yapısal olmayan mobilite
mobilité parrainée ;destekli mobilite
mobilité professionnelle; mesleki mobilite
mobilité relative; göreli mobilite
mobilité sociale;sosyal hareketlilik
mobilité structurelle; yapısal mobilite
mode de production; üretim tarzı
mode de production asiatique;Asya tipi üretim tarzı
modèle; model
modèle scientifique;model bilimsel
modèle bio-médical ;biyo-tıbbi model 
modèle bio-psycho-social ;biyo-psiko-sosyal model 
modèle centre-périphérie; merkezperiferi modeli
modèle de danger; riziko modeli
modèle de mobilisation; mobilizasyon modeli
modèle de régression linéaire hiérarchique; hiyerarşik kümeleme şeması
modèle de risque proportionnel; orantısal riziko modeli
modèle de rôle; rol modeli
modèle du Wisconsin; Wisconsin modeli
Modèle général de distance; Genel Mesafe Modeli
modèle linéaire hiérarchique; hiyerarşik doğrusal model
modèle médical; tıbbi model
modèle opérationnel; işlemsel model
modèles contextuels;bağlamsal modeller 
modèles multiniveaux ;çok düzeyli modeller 
Modèles stimulus-réponse; Uyaran Yanıt modelleri
modélisation; modelleme
modélisation causale; nedensel modelleme
modernisation; modernleşme
modernisation réflexive; düşünümsel modernleşme
modernisme; modernizm
modernité; modernlik  - modernite
monde de la vie; yaşam dünyası
mondes sociaux ;sosyal dünyalar
mondialisation;küreselleşme
monétarisme; monetarizm
monisme; monizm
monoculture; monokültür
monogamie; tekeşlilik
monogamie en série; seri monogami
monopole; tekel
monothéisme; tektanrıcılık
morale;ahlak
mores; töre
morphologie sociale;sosyal morfoloji
motivation; güdü
mouvement alternatif;alternatif hareket 
Mouvement de conception organisationnelle; Organizasyon Tasarımı Hareketi
mouvement des femmes; kadın hareketi
Mouvement des relations humaines; İnsan İlişkileri Hareketi
mouvement messianique; mesihçi hareket
mouvement ouvrier;emek hareketi
mouvement rédempteur ;kurtarıcı hareket
mouvement social;toplumsal hareket
mouvement syndical; işçi hareketi
mouvement transformateur ;dönüştürücü hareket
mouvements sociaux; toplumsal hareketler
mouvements sociaux urbains ;kentsel toplumsal hareketler
moyenne; ortalama 
moyenne arithmétique;aritmetik ortalama
moyens de production; üretim araçları
multicolinéarité;çoklu doğrusal ilişki 
mythe; mit
narcissisme; narsisizm
nationalisme; milliyetçilik
nationalisme civique; yurttaş milliyetçiliği
nationalisme ethnique; etnik milliyetçilik
nationalisme organique; organik milliyetçilik
nationalismes religieux ;dinsel milliyetçilikler
national-socialisme; Nasyonal Sosyalizm
nativisme; yerlicilik
naturalisme; natüralizm
naturalisme méthodologique; metodolojik doğalcılık
nature; doğa
nature humaine; insan doğası
négociation collective; toplu pazarlık
négociation de la productivité; verimlilik pazarlığı
néocolonialisme; yeni-sömürgecilik
néo-darwinisme; neo-Darwincilik
néo-impérialisme; neo-emperyalizm
néo-kantianisme; neo-Kantçılık
néo-libéralisme; neo-liberalizm
néo-marxisme; neo-Marksizm
néo-positivisme; neo-pozitivizm
neutralisation de la déviance; sapkınlığın etkisizleştirilmesi
névrose; nevroz
niveaux de mesure; ölçüm seviyeleri
nivellement; düzleme
nomades; göçebeler
nomadisme; göçebelik
nominalisme; nominalizm
nominalisme philosophique; felsefi nominalizm
non-conformisme; uyumcu olmama
non-réponse; yanıt vermeme
normalisation; normalleştirme 
Norme;norm
norme sociale ;toplumsal norm
normes émergentes; yeni ortaya çıkan normlar
nouveau structuralisme; yeni yapısalcılık
nouveaux mouvements sociaux; yeni toplumsal hareketler
nouveaux pays industrialisés; yeni sanayileşmekte olan ülkeler
nouvelle classe moyenne; yeni orta sınıf
nouvelle classe ouvrière; yeni işçi sınıfı
nouvelle division internationale du travail; yeni uluslararası işbölümü
Nouvelle droite; Yeni Sağ
nouvelle gauche; Yeni Sol
nouvelle technologie; yeni teknoloji
nouvelles religions; yeni dinler
objectif; nesnel
objectif généralisé; hedef genelleme
objectivité; nesnellik
Observation;gözlemleme
Observation de masse; Kitlesel Gözlem
observation non-participante; katılımcı olmayan gözlem
observation participante; katılımcı gözlem
observation secrète; örtük gözlem
oligarchie; oligarşi
oligopole; oligopol
ontologie; ontoloji
opérationnalisation; işlemselleştirme
Opinion;Görüş, fikir
opinion publique; kamuoyu
optimalité de Pareto; Pareto optimumu
Ordinaire;Sıradan
ordre négocié; müzakereyle kurulan düzen
ordre normatif; normatif düzen
